current_severity,monthly_rainfall_mm,vehicles_per_hour,road_age_years,drainage_condition,construction_quality,temperature_range,crack_intensity,severity_30d,severity_60d,severity_90d,weekly_growth_rate,will_worsen,road_type,rainfall_season
2.0,100.44143537929843,1022,6,0,0,19.749821135021172,2.0,2.3500339772685837,2.7613298471583985,3.2446094816340505,0.038349681473062225,1,collector,pre_monsoon
5.0,116.99916423175992,451,3,0,2,16.689361286865147,1.0,5.0,5.0,5.0,0.021802833245287243,0,highway,pre_monsoon
4.0,54.20433623178913,192,8,0,0,15.307576027144403,2.0,4.180889578075602,4.3699594160152975,4.567579444757925,0.010373696324553169,0,arterial,post_monsoon
3.0,11.8341270413469,488,1,1,1,10.530926669986556,2.0,3.1849428059328924,3.381286892354562,3.5897351208666164,0.01405635106834257,0,local,dry
2.0,90.8594230507092,834,11,0,0,16.147437949283706,5.0,2.1940515376724834,2.4069310749814945,2.640465413067416,0.021842417897802016,0,highway,post_monsoon
2.0,50.316500950168404,711,1,0,1,3.0,2.0,2.104771918706235,2.2150324148871627,2.3310690129392797,0.011985237519185978,0,local,dry
1.0,325.1356822366715,304,10,0,1,14.204506817462494,1.0,1.1400547033181412,1.299724726557815,1.4817572875311218,0.031056966911882068,0,arterial,monsoon
4.0,85.35035974252092,583,4,0,2,12.800610338313728,1.0,4.525395183588951,5.0,5.0,0.02921440123307151,1,collector,post_monsoon
3.0,74.13783822815299,464,1,0,1,3.0,3.0,3.2540923891037403,3.5297057589409624,3.82866288198181,0.019151338109340135,0,arterial,dry
4.0,121.26789194894937,662,7,0,1,14.031264913660843,3.0,4.484216485756933,5.0,5.0,0.02702149976234279,1,arterial,pre_monsoon
1.0,19.104515474367606,376,10,0,1,14.954458629380365,2.0,1.0864187544004278,1.180305709912977,1.282306259175369,0.01952847343371898,0,collector,dry
5.0,353.8873463544589,598,11,1,2,3.0,1.0,5.0,5.0,5.0,0.07882540639506412,0,arterial,monsoon
4.0,307.2746198047745,882,11,0,0,6.066142911739597,2.0,4.694847827157152,5.0,5.0,0.038080476942283364,1,local,monsoon
2.0,352.5321804145429,50,3,0,1,22.321945759254756,4.0,2.199691652132184,2.419321682230008,2.6608808541118703,0.022454732029042704,0,collector,monsoon
2.0,49.66676736870073,618,7,1,0,11.068232269487668,2.0,2.171582849035744,2.3578860351130997,2.5601724369162495,0.019391078405324485,0,local,dry
2.0,57.59081769734669,763,1,1,1,16.878130297491936,3.0,2.1294123158843483,2.2671984055199714,2.4139001036337917,0.014737270693494576,0,arterial,dry
2.0,45.983021861967146,188,7,0,0,17.634009621448378,1.0,2.0487362451964386,2.0986601011908013,2.14980050782861,0.005633532236047107,0,arterial,dry
3.0,39.07418183977865,355,8,1,0,13.969684069976338,2.0,3.1606386984814705,3.329878994112881,3.5081814700179073,0.01224546479460383,0,arterial,dry
3.0,278.6532921366926,421,5,0,2,17.086206755946392,2.0,3.3773164691680764,3.80208884430464,4.28028575703676,0.028028411543290117,1,arterial,monsoon
2.0,101.23640637760828,353,1,1,1,3.0,4.0,2.1765918534837603,2.3687760483259357,2.577929324756843,0.019939240467705524,0,collector,post_monsoon
3.0,398.6363547688078,338,4,0,2,10.847352941596712,0.0,3.6004363144927134,4.321047218239292,5.0,0.043489071460437755,1,collector,monsoon
1.0,132.15720076647438,425,14,2,1,3.0,3.0,1.2201491316714674,1.4887639035186362,1.8165139841420885,0.04752166420079923,0,highway,pre_monsoon
